"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,301,"Interval","High","Moderate",50,6,"0.90"
"Power","F2.ON","N",0.95,302,"Interval","High","Moderate",50,10,"0.97"
"Power","F2.ON","N",0.95,303,"Interval","High","Moderate",50,16,"0.93"
"Power","F2.ON","N",0.95,304,"Interval","High","Moderate",100,6,"1.00"
"Power","F2.ON","N",0.95,305,"Interval","High","Moderate",100,10,"1.00"
"Power","F2.ON","N",0.95,306,"Interval","High","Moderate",100,16,"1.00"
"Power","F2.ON","N",0.95,307,"Interval","High","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,308,"Interval","High","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,309,"Interval","High","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,310,"Interval","High","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,311,"Interval","High","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,312,"Interval","High","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,313,"Interval","High","Strong",50,6,"0.91"
"Power","F2.ON","N",0.95,314,"Interval","High","Strong",50,10,"0.94"
"Power","F2.ON","N",0.95,315,"Interval","High","Strong",50,16,"0.97"
"Power","F2.ON","N",0.95,316,"Interval","High","Strong",100,6,"0.99"
"Power","F2.ON","N",0.95,317,"Interval","High","Strong",100,10,"1.00"
"Power","F2.ON","N",0.95,318,"Interval","High","Strong",100,16,"1.00"
"Power","F2.ON","N",0.95,319,"Interval","High","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,320,"Interval","High","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,321,"Interval","High","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,322,"Interval","High","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,323,"Interval","High","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,324,"Interval","High","Strong",3000,16,"1.00"
