"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
1150;100;10;0;2;2;0.867;0.824;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;2;2;0.821;0.833;FALSE;FALSE;"NOT-flipped"
12519;100;10;0;2;2;0.831;0.792;FALSE;FALSE;"NOT-flipped"
12599;100;10;0;2;2;0.831;0.858;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;2;2;0.854;0.854;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;2;2;0.818;0.834;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;2;2;0.882;0.82;FALSE;FALSE;"NOT-flipped"
12967;100;10;0;2;2;0.834;0.891;FALSE;FALSE;"NOT-flipped"
1298;100;10;0;2;2;0.826;0.893;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;2;2;0.833;0.85;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
13213;100;10;0;2;2;0.869;0.769;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;2;2;0.861;0.88;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;2;2;0.871;0.893;FALSE;FALSE;"NOT-flipped"
13495;100;10;0;2;2;0.881;0.872;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;2;2;0.871;0.832;FALSE;FALSE;"NOT-flipped"
1361;100;10;0;2;2;0.889;0.828;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;2;2;0.895;0.835;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
13810;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
1395;100;10;0;2;2;0.851;0.882;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
14687;100;10;0;2;2;0.818;0.851;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;2;2;0.878;0.872;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;2;2;0.857;0.852;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;2;2;0.881;0.875;FALSE;FALSE;"NOT-flipped"
14984;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
15487;100;10;0;2;2;0.802;0.868;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
15807;100;10;0;2;2;0.877;0.824;FALSE;FALSE;"NOT-flipped"
16409;100;10;0;2;2;0.855;0.853;FALSE;FALSE;"NOT-flipped"
